-6,9.94,0.2994,0
-8.982,9.85018,0.397902,0.01
-11.9371,9.73081,0.49521,0.02
-14.8563,9.58225,0.591032,0.03
-17.731,9.40494,0.685082,0.04
-20.5525,9.19941,0.777076,0.05
-23.3123,8.96629,0.866739,0.06
-26.0022,8.70627,0.953801,0.07
-28.614,8.42013,1.038,0.08
-31.1401,8.10873,1.11909,0.09
-33.5727,7.773,1.19682,0.1
-35.9046,7.41395,1.27096,0.11
-38.1288,7.03267,1.34129,0.12
-40.2386,6.63028,1.40759,0.13
-42.2277,6.208,1.46967,0.14
-44.0901,5.7671,1.52734,0.15
-45.8202,5.3089,1.58043,0.16
-47.4129,4.83477,1.62878,0.17
-48.8633,4.34614,1.67224,0.18
-50.1671,3.84447,1.71068,0.19
-51.3205,3.33126,1.744,0.2
-52.3199,2.80806,1.77208,0.21
-53.1623,2.27644,1.79484,0.22
-53.8452,1.73799,1.81222,0.23
-54.3666,1.19432,1.82416,0.24
-54.7249,0.647074,1.83063,0.25
-54.919,0.0978835,1.83161,0.26
-54.9484,-0.4516,1.8271,0.27
-54.8129,-0.99973,1.8171,0.28
-54.513,-1.54486,1.80165,0.29
-54.0495,-2.08535,1.7808,0.3
-53.4239,-2.61959,1.7546,0.31
-52.6381,-3.14597,1.72314,0.32
-51.6943,-3.66292,1.68651,0.33
-50.5954,-4.16887,1.64482,0.34
-49.3447,-4.66232,1.5982,0.35
-47.946,-5.14178,1.54678,0.36
-46.4035,-5.60581,1.49073,0.37
-44.7218,-6.05303,1.43019,0.38
-42.9058,-6.48209,1.36537,0.39
-40.9612,-6.8917,1.29646,0.4
-38.8937,-7.28064,1.22365,0.41
-36.7095,-7.64773,1.14717,0.42
-34.4152,-7.99189,1.06725,0.43
-32.0176,-8.31206,0.984134,0.44
-29.524,-8.6073,0.898061,0.45
-26.9418,-8.87672,0.809293,0.46
-24.2788,-9.11951,0.718098,0.47
-21.5429,-9.33494,0.624749,0.48
-18.7425,-9.52236,0.529525,0.49
-15.8858,-9.68122,0.432713,0.5
-12.9814,-9.81103,0.334603,0.51
-10.0381,-9.91141,0.235489,0.52
-7.06466,-9.98206,0.135668,0.53
-4.07004,-10.0228,0.0354404,0.54
-1.06321,-10.0334,-0.0648936,0.55
1.94681,-10.0139,-0.165033,0.56
4.95099,-9.96442,-0.264677,0.57
7.94031,-9.88501,-0.363527,0.58
10.9058,-9.77595,-0.461287,0.59
13.8386,-9.63757,-0.557662,0.6
16.7299,-9.47027,-0.652365,0.61
19.571,-9.27456,-0.745111,0.62
22.3533,-9.05103,-0.835621,0.63
25.0686,-8.80034,-0.923624,0.64
27.7087,-8.52325,-1.00886,0.65
30.2657,-8.2206,-1.09106,0.66
32.7319,-7.89328,-1.17,0.67
35.0999,-7.54228,-1.24542,0.68
37.3626,-7.16865,-1.3171,0.69
39.5131,-6.77352,-1.38484,0.7
41.5452,-6.35807,-1.44842,0.71
43.4526,-5.92354,-1.50766,0.72
45.2297,-5.47125,-1.56237,0.73
46.8711,-5.00254,-1.61239,0.74
48.3718,-4.51882,-1.65758,0.75
49.7275,-4.02154,-1.6978,0.76
50.9339,-3.5122,-1.73292,0.77
51.9876,-2.99233,-1.76284,0.78
52.8853,-2.46348,-1.78748,0.79
53.6243,-1.92723,-1.80675,0.8
54.2025,-1.38521,-1.8206,0.81
54.6181,-0.839026,-1.82899,0.82
54.8698,-0.290328,-1.8319,0.83
54.9569,0.25924,-1.8293,0.84
54.8791,0.808031,-1.82122,0.85
54.6367,1.3544,-1.80768,0.86
54.2304,1.8967,-1.78871,0.87
53.6614,2.43332,-1.76438,0.88
52.9314,2.96263,-1.73475,0.89
52.0426,3.48306,-1.69992,0.9
50.9977,3.99303,-1.65999,0.91
49.7998,4.49103,-1.61508,0.92
48.4524,4.97555,-1.56533,0.93
46.9598,5.44515,-1.51087,0.94
45.3262,5.89841,-1.45189,0.95
43.5567,6.33398,-1.38855,0.96
41.6565,6.75055,-1.32104,0.97
39.6313,7.14686,-1.24958,0.98
37.4873,7.52173,-1.17436,0.99
35.2308,7.87404,-1.09562,1
32.8686,8.20273,-1.01359,1.01
30.4077,8.5068,-0.928523,1.02
27.8557,8.78536,-0.84067,1.03
25.2201,9.03756,-0.750294,1.04
22.5088,9.26265,-0.657668,1.05
19.73,9.45995,-0.563068,1.06
16.892,9.62887,-0.466779,1.07
14.0034,9.7689,-0.36909,1.08
11.0727,9.87963,-0.270294,1.09
8.10882,9.96072,-0.170687,1.1
5.12061,10.0119,-0.0705677,1.11
2.11703,10.0331,0.0297633,1.12
-0.892899,10.0242,0.130005,1.13
-3.90015,9.98517,0.229857,1.14
-6.8957,9.91621,0.329019,1.15
-9.87056,9.8175,0.427194,1.16
-12.8158,9.68934,0.524087,1.17
-15.7226,9.53212,0.619408,1.18
-18.5823,9.3463,0.712871,1.19
-21.3861,9.13243,0.804196,1.2
-24.1259,8.89118,0.893107,1.21
-26.7932,8.62324,0.97934,1.22
-29.3802,8.32944,1.06263,1.23
-31.879,8.01065,1.14274,1.24
-34.2822,7.66783,1.21942,1.25
-36.5826,7.302,1.29244,1.26
-38.7732,6.91427,1.36158,1.27
-40.8475,6.5058,1.42664,1.28
-42.7992,6.07781,1.48742,1.29
-44.6225,5.63158,1.54373,1.3
-46.312,5.16846,1.59542,1.31
-47.8625,4.68983,1.64232,1.32
-49.2695,4.19714,1.68429,1.33
-50.5286,3.69185,1.72121,1.34
-51.6362,3.17549,1.75296,1.35
-52.5888,2.6496,1.77946,1.36
-53.3837,2.11577,1.80062,1.37
